id,location,investigation,date_of_accident,date_of_report,time_of_accident,ai_category,body_part,nature_of_injury,type_of_contact,no_of_days_lost,target_closure_date,actual_closure_date,investigation_level
216,Section 4,Yes,14-11-2017,14-11-17,9:15:00 AM,Loss/Damage/Theft,N/A,N/A,N/A,0,01-12-17,30-11-17,High
217,Section 3,No,14-11-2017,14-11-17,11:00:00 AM,Loss/Damage/Theft,N/A,N/A,N/A,0,02-12-17,02-12-17,Low
218,Section 2,Yes,16-11-2017,16-11-17,1:00:00 PM,Utility Damage,N/A,N/A,N/A,0,03-12-17,30-11-17,High
219,Section 2,No,13-11-2017,13-11-17,8:00:00 AM,Loss/Damage/Theft,N/A,N/A,N/A,0,04-12-17,04-12-17,Low
220,Section 3,No,17-11-2017,17-11-17,10:49:00 AM,Injury,Back / Buttocks,Sprain / Strain ,"Injured by carrying, handling or lifting",0,05-12-17,05-12-17,Low
221,Section 4,No,17-11-2017,17-11-17,7:45:00 AM,Road Traffic Accidents,N/A,N/A,N/A,0,06-12-17,17-11-17,Medium
222,Section 2,No,18-11-2017,18-11-17,2:00:00 AM,Road Traffic Accidents,N/A,N/A,Struck against a fixed or stationary object,0,07-12-17,19-11-17,Low
223,Section 1,No,19-11-2017,19-11-17,10:30:00 AM,Category 1 / 2 Near Miss,N/A,N/A,Struck against a fixed or stationary object,0,08-12-17,12-01-18,Medium
224,Section 4,No,14-11-2017,14-11-17,2:35:00 PM,Road Traffic Accidents,N/A,N/A,N/A,0,09-12-17,20-11-17,Low
225,Section 4,No,27-11-2017,27-11-17,6:11:00 PM,Road Traffic Accidents,N/A,N/A,N/A,0,10-12-17,10-12-17,
226,Section 2,No,14-11-2017,14-11-17,9:30:00 AM,Statutory Authority Visit,N/A,N/A,N/A,0,11-12-17,11-12-18,Low
227,Section 4,Yes,22-11-2017,22-11-17,8:50:00 PM,Injury,Foot / Ankle,Fracture ,Other,3,12-12-17,07-12-17,High
228,Section 2,No,24-11-2017,24-11-17,6:00:00 AM,Loss/Damage/Theft,N/A,N/A,N/A,0,13-12-17,08-12-17,Low
229,Section 2,No,24-11-2017,24-11-17,10:00:00 AM,Loss/Damage/Theft,N/A,N/A,N/A,0,14-12-17,19-12-17,Medium
230,Section 1,No,24-11-2017,24-11-17,11:30:00 AM,Injury,Arm,Arm,N/A,0,15-12-17,18-12-17,Low
231,Section 3,Yes,24-11-2017,24-11-17,11:00:00 AM,Loss/Damage/Theft,N/A,N/A,N/A,0,16-12-17,16-12-17,Low
233,Section 1,No,27-11-2017,27-11-17,3:20:00 PM,Category 1 / 2 Near Miss,N/A,N/A,"Slip, trip or fall on same level",0,17-12-17,18-12-17,Low
234,Section 2,Yes,30-11-2017,30-11-17,1:00:00 PM,Loss/Damage/Theft,N/A,N/A,N/A,0,18-12-17,18-12-18,High
235,Section 2,Yes,01-12-2017,01-12-17,8:30:00 AM,Loss/Damage/Theft,N/A,N/A,N/A,0,19-12-17,19-12-17,High
236,Section 4,No,01-12-2017,01-12-17,12:00:00 PM,Loss/Damage/Theft,N/A,N/A,N/A,0,20-12-17,04-12-17,Low
237,Section 2,No,01-12-2017,01-12-17,4:00:00 PM,Loss/Damage/Theft,Arm,Other,"Slip, trip or fall on same level",0,21-12-17,04-12-17,
238,Section 2,No,01-12-2017,01-12-17,1:00:00 PM,Road Traffic Accidents,N/A,N/A,N/A,0,22-12-17,04-12-17,
239,Section 2,No,02-12-2017,02-12-17,7:26:00 PM,Loss/Damage/Theft,N/A,N/A,N/A,0,23-12-17,04-12-17,
240,Section 1,Yes,30-11-2017,30-11-17,11:30:00 PM,Injury,Leg,Fracture ,"Struck by a falling, flying or moving object",120,24-12-17,19-12-17,High
241,Section 2,No,05-12-2017,05-12-17,3:00:00 PM,Category 1 / 2 Near Miss,N/A,N/A,N/A,0,25-12-17,20-12-18,Low
242,Section 4,No,07-12-2017,07-12-17,12:45:00 PM,Utility Damage,N/A,N/A,N/A,0,26-12-17,01-02-18,Low
243,Section 2,No,13-12-2017,13-12-17,10:38:00 AM,Loss/Damage/Theft,N/A,N/A,N/A,0,27-12-17,27-12-18,Low
244,Section 2,Yes,07-12-2017,07-12-17,10:45:00 AM,Category 1 / 2 Near Miss,N/A,N/A,N/A,0,28-12-17,10-01-18,Medium
245,Section 1,Yes,13-12-2017,13-12-17,2:45:00 PM,Injury,Foot / Ankle,Sprain / Strain ,"Struck by a falling, flying or moving object",7,29-12-17,21-12-17,High
246,Section 2,Yes,14-12-2017,14-12-17,10:15:00 AM,Category 1 / 2 Near Miss,N/A,N/A,N/A,0,30-12-17,01-02-18,High
247,Section 4,No,14-12-2017,14-12-17,12:18:00 AM,Loss/Damage/Theft,N/A,N/A,N/A,0,31-12-17,15-12-17,Low
248,Section 3,No,18-12-2017,18-12-17,7:30:00 AM,Injury,Back / Buttocks,Sprain / Strain ,"Slip, trip or fall on same level",1,01-01-18,19-12-17,Low
249,Section 2,No,18-12-2017,18-12-17,7:30:00 AM,Category 1 / 2 Near Miss,N/A,N/A,N/A,0,02-01-18,02-01-18,Low
250,Section 2,Yes,18-12-2017,18-12-17,1:15:00 PM,Injury,Hand,Cut / Laceration,"Injured by carrying, handling or lifting",0,03-01-18,11-01-18,Low
251,Section 3,No,20-12-2017,20-12-17,3:00:00 PM,Illness,N/A,N/A,Other,0,04-01-18,04-01-18,Low
252,Section 4,No,13-12-2017,13-12-17,6:45:00 AM,Loss/Damage/Theft,N/A,N/A,Other,0,05-01-18,22-12-17,Low
253,Section 4,No,04-01-2018,04-01-18,12:15:00 PM,Category 1 / 2 Near Miss,N/A,N/A,N/A,0,06-01-18,05-01-18,Low
254,Section 4,No,04-01-2018,04-01-18,5:15:00 PM,Road Traffic Accidents,N/A,N/A,N/A,0,07-01-18,05-01-18,Low
255,Section 4,No,06-01-2018,06-01-18,6:13:00 AM,Road Traffic Accidents,N/A,N/A,N/A,0,08-01-18,07-01-18,Low
256,Section 3,Yes,05-01-2018,05-01-18,12:39:00 PM,Injury,Back / Buttocks,N/A,N/A,0,09-01-18,06-01-18,Low
257,Section 2,No,08-01-2018,08-01-18,4:00:00 PM,Loss/Damage/Theft,N/A,N/A,N/A,0,10-01-18,09-01-18,Low
258,Section 1,No,08-01-2018,08-01-18,11:59:00 PM,Category 1 / 2 Near Miss,N/A,N/A,Other,0,11-01-18,20-10-17,Low
259,Section 2,Yes,10-01-2018,10-01-18,10:00:00 AM,Category 1 / 2 Near Miss,N/A,N/A,N/A,0,12-01-18,24-01-18,Medium
260,Section 4,Yes,09-01-2018,09-01-18,2:30:00 PM,Utility Damage,N/A,N/A,N/A,0,13-01-18,27-03-18,High
261,Section 1,No,12-01-2018,12-01-18,10:56:00 AM,Category 1 / 2 Near Miss,N/A,N/A,Other,0,14-01-18,12-01-18,Low
262,Section 4,No,15-01-2018,15-01-18,12:20:00 PM,Injury,Back / Buttocks,Burns (thermal/chemical),"Slip, trip or fall on same level",0,15-01-18,22-02-18,Low
263,Section 1,No,08-01-2018,08-01-18,3:00:00 PM,Loss/Damage/Theft,N/A,N/A,N/A,0,16-01-18,22-01-18,Low
264,Section 2,Yes,18-01-2018,18-01-18,7:30:00 AM,Category 1 / 2 Near Miss,N/A,N/A,N/A,0,17-01-18,25-01-18,Low
265,Section 3,No,22-01-2018,22-01-18,9:00:00 AM,Injury,Back / Buttocks,Sprain / Strain ,"Injured by carrying, handling or lifting",0,18-01-18,05-02-18,Low
266,Section 4,No,19-01-2018,19-01-18,12:50:00 PM,Utility Damage,N/A,N/A,Contact with moving machinery / power equipment,0,19-01-18,22-02-18,Low
267,Section 2,No,22-01-2018,22-01-18,7:00:00 AM,Category 1 / 2 Near Miss,N/A,N/A,N/A,0,20-01-18,05-02-18,Low
268,Section 3,Yes,22-01-2018,22-01-18,5:00:00 PM,Category 1 / 2 Near Miss,N/A,N/A,Other,0,21-01-18,05-02-18,Low
269,Section 4,Yes,23-01-2018,23-01-18,1:15:00 PM,Injury,Fingers / Thumbs,Cut / Laceration,Contact with moving machinery / power equipment,0,22-01-18,19-02-18,Low
270,Section 4,No ,24-01-2018,24-01-18,1:00:00 PM,Loss/Damage/Theft,N/A,N/A,N/A,0,23-01-18,25-02-18,Low
271,Section 3,Yes,26-01-2018,26-01-18,7:30:00 AM,Loss/Damage/Theft,N/A,Other,N/A,0,24-01-18,24-01-18,Low
272,Section 2,Yes,25-01-2018,25-01-18,9:16:00 AM,Loss/Damage/Theft,N/A,N/A,N/A,0,25-01-18,09-02-18,Low
273,Section 2,No,23-01-2018,23-01-18,7:00:00 PM,Category 1 / 2 Near Miss,N/A,N/A,N/A,0,26-01-18,26-01-18,Low
274,Section 5,No,23-01-2018,23-01-18,11:00:00 PM,Category 1 / 2 Near Miss,N/A,Other,N/A,0,27-01-18,26-01-18,Low
275,Section 2,No,25-01-2018,25-01-18,12:00:00 PM,Road Traffic Accidents,N/A,N/A,N/A,0,28-01-18,26-01-18,Low
276,Section 3,Yes,22-01-2018,26-01-18,7:30:00 AM,Injury,Leg,Bruise / Contusion,Struck against a fixed or stationary object,0,29-01-18,29-01-18,Low
277,Section 4,Yes,24-01-2018,24-01-18,11:45:00 AM,Injury,Head,Cut / Laceration,"Injured by carrying, handling or lifting",0,30-01-18,19-02-18,
278,Section 3,No,29-01-2018,29-01-18,1:00:00 PM,Injury,Torso,N/A,N/A,0,31-01-18,31-01-18,Low
279,Section 2,No,29-01-2018,29-01-18,12:15:00 PM,Injury,Hand,Other,N/A,0,01-02-18,03-02-18,Low
280,Section 2,No,26-01-2018,26-01-18,12:00:00 PM,Category 1 / 2 Near Miss,N/A,N/A,N/A,0,02-02-18,09-02-18,Low
281,Section 2,No,30-01-2018,30-01-18,8:00:00 AM,Category 1 / 2 Near Miss,N/A,N/A,N/A,0,03-02-18,30-01-18,Low
282,Section 2,Yes,01-02-2018,01-02-18,8:30:00 AM,Injury,Hand,Sprain / Strain ,"Slip, trip or fall on same level",0,04-02-18,02-02-18,Low
283,Section 3,Yes,30-01-2018,30-01-18,1:00:00 PM,Injury,Fingers / Thumbs,Other,N/A,0,05-02-18,13-02-18,Low
284,Section 3,Yes,31-01-2018,31-01-18,9:15:00 AM,Injury,Leg,Other,"Struck by a falling, flying or moving object",0,06-02-18,14-02-18,Low
285,Section 2,Yes,01-02-2018,01-02-18,3:15:00 PM,Loss/Damage/Theft,N/A,N/A,N/A,0,07-02-18,16-02-18,Low
286,Section 4,No ,02-11-2017,02-11-17,1:00:00 PM,Utility Damage,N/A,N/A,Other,0,08-02-18,06-02-18,Low
287,Section 4,No ,18-01-2018,18-01-18,1:00:00 PM,Utility Damage,N/A,N/A,N/A,0,09-02-18,06-02-18,Low
288,Section 4,No ,26-01-2018,26-01-18,1:00:00 PM,Utility Damage,N/A,N/A,N/A,0,10-02-18,06-02-18,Low
289,Section 4,No ,02-02-2018,02-02-18,8:30:00 PM,Road Traffic Accidents,N/A,N/A,Other,0,11-02-18,06-02-18,Low
290,Section 4,Yes,29-01-2018,29-01-18,12:32:00 PM,Utility Damage,N/A,N/A,N/A,0,12-02-18,21-02-18,
291,Section 3,Yes,07-02-2018,07-02-18,2:30:00 PM,Injury,Hand,Cut / Laceration,"Struck by a falling, flying or moving object",0,13-02-18,07-02-18,Low
292,Section 4,No,08-02-2018,08-02-18,8:30:00 AM,Loss/Damage/Theft,N/A,N/A,N/A,0,14-02-18,14-02-18,Low
293,Section 3,Yes,08-02-2018,08-02-18,12:52:00 PM,Injury,Back / Buttocks,N/A,"Slip, trip or fall on same level",0,15-02-18,16-02-18,Low
294,Section 3,Yes,08-02-2018,08-02-18,10:00:00 AM,Category 1 / 2 Near Miss,N/A,N/A,N/A,0,16-02-18,16-02-18,Medium
295,Section 2,Yes,08-02-2018,08-02-18,1:00:00 PM,Category 1 / 2 Near Miss,N/A,N/A,N/A,0,17-02-18,19-02-18,Medium
296,Section 2,No ,09-02-2018,09-02-18,10:15:00 AM,Loss/Damage/Theft,N/A,N/A,N/A,0,18-02-18,16-02-18,High
297,Section 3,No,27-01-2018,27-01-18,9:00:00 AM,Category 1 / 2 Near Miss,N/A,N/A,N/A,0,19-02-18,10-02-18,Low
298,Section 2,No ,10-02-2018,10-02-18,7:15:00 AM,Loss/Damage/Theft,N/A,N/A,N/A,0,20-02-18,16-02-18,Low
299,Section 2,Yes,12-02-2018,12-02-18,2:10:00 PM,Injury,Leg,Other,"Slip, trip or fall on same level",1,26-02-18,26-02-18,Low
300,Section 1,No,10-02-2018,10-02-18,11:30:00 AM,Loss/Damage/Theft,N/A,N/A,N/A,0,22-02-18,26-02-18,Low
301,Section 4,Yes,12-02-2018,12-02-18,6:45:00 AM,Injury,Torso,Bruise / Contusion,"Slip, trip or fall on same level",0,01-02-18,19-02-18,Low
302,Section 3,Yes,13-02-2018,13-02-18,9:45:00 AM,Injury,Arm,Sprain / Strain ,Other,1,24-02-18,13-02-18,Low
303,Section 3,No,13-02-2018,13-02-18,9:42:00 AM,Injury,Eyes,Other,Exposed to dust ,0,25-02-18,13-02-18,Low
304,Section 4,Yes,12-02-2018,12-02-18,10:50:00 AM,Injury,Hand,Bruise / Contusion,"Struck by a falling, flying or moving object",0,01-03-18,21-02-18,Low
305,Section 3,Yes,12-02-2018,14-02-18,9:50:00 AM,Injury,Arm,Sprain / Strain ,N/A,0,27-02-18,27-02-18,Low
306,Section 3,Yes,15-02-2018,15-02-18,12:30:00 PM,Injury,Back / Buttocks,N/A,"Slip, trip or fall on same level",0,28-02-18,15-02-18,Low
307,Section 4,Yes,15-02-2018,15-02-18,2:45:00 PM,Category 1 / 2 Near Miss,N/A,N/A,N/A,0,01-03-18,28-02-18,High
308,Section 2,No,16-02-2018,16-02-18,2:00:00 PM,Loss/Damage/Theft,N/A,N/A,N/A,0,02-03-18,05-03-18,Low
309,Section 3,Yes,19-02-2018,19-02-18,10:00:00 AM,Loss/Damage/Theft,N/A,N/A,Other,0,03-03-18,03-03-18,Low
310,Section 3,Yes,20-02-2018,20-02-18,12:30:00 PM,Loss/Damage/Theft,N/A,N/A,Other,0,04-03-18,15-03-18,Low
311,Section 4,Yes,21-02-2018,21-02-18,4:30:00 PM,Injury,Fingers / Thumbs,Cut / Laceration,Struck against a fixed or stationary object,0,07-03-18,02-03-18,Low
312,Section 3,Yes,22-02-2018,22-02-18,9:55:00 AM,Injury,Wrist,Other,"Slip, trip or fall on same level",0,02-03-18,15-03-18,Low
313,Section 4,Yes,22-02-2018,22-02-18,10:00:00 AM,Utility Damage,N/A,N/A,N/A,0,08-03-18,16-03-18,Low
,Section 2,Yes,26-02-2018,26-02-18,12:19:00 PM,Injury,Torso,Bruise / Contusion,"Struck by a falling, flying or moving object",0,12-03-18,08-03-18,Low
315,Section 4,Yes,20-02-2018,26-02-18,10:00:00 AM,Illness,N/A,N/A,N/A,9,06-03-18,09-03-18,Low
316,Section 4,Yes,23-02-2018,26-02-18,1:00:00 PM,Injury,Leg,Bruise / Contusion,"Slip, trip or fall on same level",0,12-03-18,02-03-18,Low
317,Section 2,Yes ,26-02-2018,26-02-18,6:15:00 PM,Injury,Back / Buttocks,Other,"Slip, trip or fall on same level",0,12-03-18,05-03-18,Low
318,Section 3,Yes,26-02-2018,26-02-18,12:30:00 PM,Injury,Back / Buttocks,Other,Other,4,27-02-18,27-02-18,Low
319,Section 3,Yes,26-02-2018,26-02-18,11:30:00 AM,Loss/Damage/Theft,N/A,N/A,N/A,0,12-03-18,20-03-18,Low
320,Section 3,Yes,26-02-2018,26-02-18,8:00:00 AM,Injury,Eyes,Foreign Body,Exposed to dust ,4,12-03-18,15-03-18,Low
321,Section 3,Yes,23-02-2018,23-02-18,1:50:00 PM,Injury,Foot / Ankle,Other,"Slip, trip or fall on same level",0,09-03-18,15-03-18,Low
322,Section 3,Yes,22-02-2018,27-02-18,2:00:00 PM,Injury,Back / Buttocks,N/A,Other,0,13-03-18,15-03-18,Low
323,Section 3,Yes ,22-02-2018,22-02-18,1:30:00 PM,Category 1 / 2 Near Miss,N/A,N/A,Fall from height,0,08-03-18,20-03-18,Low
324,Section 2,Yes ,07-03-2018,07-03-18,10:00:00 AM,Category 1 / 2 Near Miss,N/A,N/A,N/a,0,21-03-18,19-03-18,Medium
325,Section 4,No,03-03-2018,06-03-18,3:05:00 AM,Road Traffic Accidents,N/A,N/A,N/A,0,16-04-18,16-04-18,Low
326,Section 4,Yes ,06-03-2018,06-03-18,10:20:00 AM,Category 1 / 2 Near Miss,N/A,N/A,N/A,0,06-04-18,09-04-18,Medium
327,Section 4,Yes ,05-03-2018,06-03-18,4:29:00 PM,Category 1 / 2 Near Miss,N/A,N/A,N/A,0,20-03-18,27-03-18,Medium
328,Section 5,Yes,07-03-2018,07-03-18,1:00:00 AM,Utility Damage,N/A,N/A,N/A,0,21-03-18,09-03-18,Low
329,Section 4,Yes,06-03-2018,07-03-18,9:15:00 AM,Injury,Back / Buttocks,Sprain / Strain ,Other,0,12-03-18,13-03-18,Low
330,Section 4,Yes,07-03-2018,07-03-18,10:30:00 AM,Loss/Damage/Theft,N/A,N/A,N/A,0,15-04-18,30-04-18,Low
331,Section 2,No,09-03-2018,09-03-18,3:10:00 PM,Injury,Leg,Bruise / Contusion,"Slip, trip or fall on same level",0,23-03-18,12-03-18,Low
332,Section 3,No,08-03-2018,09-03-18,4:30:00 PM,Road Traffic Accidents,N/A,N/A,N/A,0,09-03-18,09-03-18,Low
333,Section 3,No,13-03-2018,13-03-18,9:30:00 AM,Injury,Hand,Trauma ,"Injured by carrying, handling or lifting",0,13-03-18,13-03-18,Low
334,Section 3,Yes,13-03-2018,13-03-18,1:30:00 PM,Injury,Arm,Trauma ,"Injured by carrying, handling or lifting",0,27-03-18,15-03-18,Low
335,Section 2,Yes ,14-03-2018,14-03-18,3:30:00 PM,Injury,Head,Bruise / Contusion,"Slip, trip or fall on same level",0,28-03-18,27-03-18,Low
336,Section 4,Yes,12-03-2018,12-03-18,1:50:00 PM,Road Traffic Accidents,Torso,Bruise / Contusion,Other,6,30-03-18,23-03-18,Medium
337,Section 3,No,16-03-2018,16-03-18,8:20:00 AM,Injury,Fingers / Thumbs,Foreign Body,Other,0,19-03-18,19-03-18,Low
338,Section 4,Yes,13-03-2018,13-03-18,12:00:00 PM,Category 1 / 2 Near Miss,N/A,N/A,N/A,0,26-04-18,16-04-18,Low
339,Section 5,No,14-03-2018,16-03-18,9:25:00 PM,Category 1 / 2 Near Miss,N/A,N/A,N/A,0,16-03-18,16-03-18,Low
340,Section 1,Yes,20-03-2018,20-03-18,9:15:00 AM,Loss/Damage/Theft,N/A,N/A,Struck against a fixed or stationary object,0,03-04-18,27-03-18,Low
341,Section 3,Yes,21-03-2018,21-03-18,2:00:00 PM,Loss/Damage/Theft,N/A,N/A,Struck by a moving vehicle,0,04-04-18,28-03-18,Low
342,Section 3,Yes,22-03-2018,22-03-18,5:15:00 PM,Loss/Damage/Theft,N/A,N/A,Struck by a moving vehicle,0,05-04-18,,Low
343,Section 1,No,23-03-2018,23-03-18,7:20:00 AM,Loss/Damage/Theft,N/A,N/A,Struck against a fixed or stationary object,0,23-03-18,23-03-18,Low
344,Section 2,No ,22-03-2018,23-03-18,3:31:00 PM,Utility Damage,N/A,N/A,Other,0,05-04-18,08-06-18,Low
345,Section 1,No,22-03-2018,23-03-18,8:30:00 AM,Injury,Eyes,Foreign Body,Exposed to dust ,0,23-03-18,23-03-18,Low
346,Section 1,No,25-03-2018,25-03-18,11:30:00 AM,Category 1 / 2 Near Miss,N/A,N/A,N/A,0,06-04-18,25-03-18,Low
347,Section 4,No,23-03-2018,23-03-18,9:30:00 AM,Injury,Arm,Bruise / Contusion,Fall from height,0,06-04-18,06-04-18,Low
348,Section 4,Yes,26-03-2018,27-03-18,5:15:00 PM,Utility Damage,N/A,N/A,N/A,0,12-04-18,16-04-18,Low
349,Section 4,Yes,06-03-2018,28-03-18,12:00:00 PM,Category 1 / 2 Near Miss,N/A,N/A,N/A,0,20-04-18,16-05-18,Medium
350,Section 4,Yes,22-03-2018,28-03-18,11:00:00 AM,Category 1 / 2 Near Miss,N/A,N/A,N/A,0,20-04-18,16-05-18,Low
351,Section 3,No,28-03-2018,29-03-18,5:10:00 PM,Road Traffic Accidents,N/A,N/A,N/A,0,12-04-18,12-04-18,Low
352,Section 1,No,04-04-2018,04-04-18,7:58:00 AM,Category 1 / 2 Near Miss,N/A,N/A,N/A,0,04-04-18,04-04-18,Low
353,Section 4,Yes,05-04-2018,05-04-18,4:45:00 PM,Category 1 / 2 Near Miss,N/A,N/A,N/A,0,15-04-18,15-04-18,Low
354,Section 4,Yes,06-04-2018,06-04-18,7:15:00 PM,Loss/Damage/Theft,N/A,N/A,N/A,0,20-04-18,23-04-18,Low
355,Section 3,Yes,06-04-2018,06-04-18,8:45:00 AM,Injury,Multiple injuries,Multiple Injuries,Fall from height,4,23-05-18,,Medium
356,Section 2,Yes,06-04-2018,10-04-18,3:00:00 PM,Utility Damage,N/A,N/A,N/A,0,24-04-18,09-05-18,Low
357,Section 4,Yes,10-04-2018,10-04-18,11:00:00 AM,Utility Damage,N/A,N/A,N/A,0,23-04-18,23-04-18,Low
358,Section 4,Yes,11-04-2018,12-04-18,10:00:00 AM,Utility Damage,N/A,N/A,N/A,0,25-04-18,04-05-18,Low
359,Section 2,Yes,12-04-2018,12-04-18,2:30:00 PM,Loss/Damage/Theft,N/A,N/A,N/A,0,26-04-18,26-04-18,High
361,Section 4,Yes,12-04-2018,13-04-18,4:00:00 PM,Category 1 / 2 Near Miss,N/A,N/A,N/A,0,26-04-18,18-04-18,Low
362,Section 2,No,13-04-2018,13-04-18,1:00:00 PM,Illness,Torso,Other,N/A,0,27-04-18,09-05-18,Low
363,Section 4,Yes,17-04-2018,17-04-18,7:30:00 AM,Illness,N/A,Other,N/A,0,27-04-18,18-04-18,Low
364,Section 6,Yes,17-04-2018,18-04-18,1:30:00 PM,Utility Damage,N/A,N/A,N/A,0,02-05-18,03-05-18,Low
365,Section 3,Yes,18-04-2018,18-04-18,2:30:00 PM,Injury,Leg,Sprain / Strain ,"Slip, trip or fall on same level",,02-05-18,03-05-18,Low
366,Section 2,No,17-04-2018,17-04-18,10:00:00 AM,Illness,Torso,N/A,N/A,0,01-05-18,20-04-18,Low
367,Section 2,No,17-04-2018,17-04-18,3:00:00 PM,Utility Damage,N/A,N/A,N/A,0,01-05-18,09-05-18,Low
368,Section 4,No,17-04-2018,18-04-18,10:30:00 PM,Road Traffic Accidents,N/A,N/A,N/A,0,20-04-18,18-04-18,Low
369,Section 4,Yes,19-04-2018,19-04-18,2:00:00 PM,Utility Damage,N/A,N/A,N/A,0,04-05-18,04-05-18,Low
370,Section 3,No,20-04-2018,20-04-18,9:40:00 AM,Injury,Back / Buttocks,Sprain / Strain ,"Injured by carrying, handling or lifting",0,04-05-18,,Low
371,Section 5,No,20-04-2018,21-04-18,9:15:00 PM,Category 1 / 2 Near Miss,N/A,N/A,N/A,0,24-04-18,26-04-18,Low
372,Section 3,No,13-04-2018,13-04-18,12:00:00 PM,Category 1 / 2 Near Miss,N/A,N/A,N/a,0,13-04-18,13-04-18,
373,Section 3,Yes,18-04-2018,19-04-18,5:30:00 PM,Environmental Incident,N/A,N/A,N/a,0,01-05-18,09-05-18,
374,Section 4,No,03-04-2018,23-04-18,8:00:00 AM,Injury,Back / Buttocks,Other,Other,0,04-04-18,04-04-18,Low
375,Section 2,Yes,23-04-2018,23-04-18,3:00:00 PM,Category 1 / 2 Near Miss,N/A,N/A,N/A,0,07-05-18,14-05-18,Medium
376,Section 3,Yes,26-04-2018,26-04-18,12:00:00 PM,Injury,Face,Other,Other,0,07-05-18,,Low
378,Section 2,Yes,25-04-2018,26-04-18,11:00:00 PM,Utility Damage,N/A,N/A,N/A,0,09-05-18,08-05-18,Low
379,Section 4,Yes,30-04-2018,30-04-18,9:00:00 AM,Utility Damage,N/A,N/A,N/A,0,11-05-18,10-05-18,Low
380,Section 3,Yes,24-04-2018,01-05-18,12:00:00 PM,Injury,Foot / Ankle,N/A,N/A,0,,,Low
381,Section 1,Yes,08-05-2018,08-05-18,1:20:00 PM,Loss/Damage/Theft,N/A,N/A,Struck by a moving vehicle,0,11-05-18,15-05-18,Low
382,Section 3,Yes,03-05-2018,03-05-18,12:10:00 PM,Category 1 / 2 Near Miss,N/A,N/A,N/A,0,17-05-18,,Medium
383,Section 4,Yes,04-05-2018,04-05-18,4:30:00 PM,Category 1 / 2 Near Miss,N/A,N/A,Other,0,18-05-18,16-05-18,Low
384,Section 4,Yes,09-05-2018,09-05-18,5:25:00 PM,Injury,Fingers / Thumbs,Cut / Laceration,"Injured by carrying, handling or lifting",0,24-05-18,15-05-18,Low
385,Section 2,No,10-05-2018,10-05-18,11:30:00 AM,Injury,Hand,Cut / Laceration,"Injured by carrying, handling or lifting",0,24-05-18,24-05-18,Low
386,Section 3,Yes,11-05-2018,11-05-18,10:00:00 AM,Category 1 / 2 Near Miss,N/A,N/A,N/A,0,18-05-18,,Medium
387,Section 2,Yes,11-05-2018,11-05-18,2:20:00 PM,Loss/Damage/Theft,N/A,N/A,Other,0,25-05-18,24-05-18,Low
388,Section 4,Yes,09-05-2018,11-05-18,2:00:00 PM,Utility Damage,N/A,N/A,N/A,0,23-05-18,12-06-18,Low
389,Section 4,No,13-05-2018,13-05-18,6:00:00 PM,Road Traffic Accidents,N/A,N/A,N/A,0,,,N/A
390,Section 4,Yes,14-05-2018,14-05-18,12:30:00 PM,Category 1 / 2 Near Miss,N/A,N/A,N/A,0,,02-07-18,Low
391,Section 2,Yes,15-05-2018,15-05-18,8:00:00 AM,Loss/Damage/Theft,N/A,N/A,Other,0,29-05-18,25-05-18,Low
393,Section 2,Yes,15-05-2018,16-05-18,2:00:00 PM,Injury,Foot / Ankle,Bruise / Contusion,"Injured by carrying, handling or lifting",0,30-05-18,06-06-18,Low
394,Section 4,Yes,16-05-2018,17-05-18,6:00:00 PM,Category 1 / 2 Near Miss,N/A,N/A,N/A,0,25-05-18,13-06-18,Medium
395,Section 2,Yes,17-05-2018,17-05-18,9:00:00 AM,Loss/Damage/Theft,N/A,N/A,N/A,0,31-05-18,23-05-18,Low
396,Section 2,Yes,16-05-2018,16-05-18,2:30:00 PM,Category 1 / 2 Near Miss,N/A,N/A,N/A,0,30-05-18,27-06-18,Medium
397,Section 4,Yes,15-05-2018,15-05-18,12:30:00 PM,Utility Damage,N/A,N/A,Other,0,25-05-18,06-07-18,Low
398,Section 4,Yes,16-05-2018,16-05-18,1:30:00 PM,Utility Damage,N/A,N/A,Other,0,30-05-18,15-08-18,Low
399,Section 4,Yes,16-05-2018,17-05-18,2:00:00 PM,Utility Damage,N/A,N/A,N/A,0,30-05-18,30-05-18,Low
400,Section 4,Yes,17-05-2018,17-05-18,2:30:00 PM,Category 1 / 2 Near Miss,N/A,N/A,N/A,0,30-05-18,13-06-18,Medium
401,Section 1,Yes,20-05-2018,20-05-18,11:00:00 AM,Loss/Damage/Theft,N/A,N/A,Struck by a moving vehicle,0,01-06-18,25-05-18,Medium
402,Section 2,No,21-05-2018,21-05-18,9:15:00 AM,Injury,Fingers / Thumbs,Cut / Laceration,Other,0,04-06-18,24-05-18,Low
403,Section 2,No,21-05-2018,21-05-18,11:00:00 AM,Illness,Torso,Other,Other,0,04-06-18,29-05-18,Low
404,Section 4,Yes,22-05-2018,23-05-18,5:00:00 PM,Utility Damage,N/A,N/A,N/A,0,22-05-18,13-06-18,Low
405,Section 4,Yes,22-05-2018,23-05-18,5:00:00 PM,Utility Damage,N/A,N/A,N/A,0,12-06-18,13-06-18,Low
406,Section 4,Yes,24-05-2018,25-05-18,10:00:00 AM,Category 1 / 2 Near Miss,N/A,N/A,N/A,0,07-06-18,03-07-18,Low
